date,year,location,species,type,count
16-Jun,2001,Kwethluk River,Coho,Counted Live,0
16-Jun,2015,Kwethluk River,Chinook,Counted Live,0
16-Jun,2015,Kwethluk River,Chum,Counted Live,4
16-Jun,2015,Kwethluk River,Coho,Counted Live,0
16-Jun,2015,Kwethluk River,Sockeye,Counted Live,3
16-Jun,2016,Kwethluk River,Chinook,Counted Live,
16-Jun,2016,Kwethluk River,Chum,Counted Live,
16-Jun,2016,Kwethluk River,Coho,Counted Live,
16-Jun,2016,Kwethluk River,Sockeye,Counted Live,
16-Jun,2017,Kwethluk River,Chinook,Counted Live,1
16-Jun,2017,Kwethluk River,Chum,Counted Live,4
16-Jun,2017,Kwethluk River,Coho,Counted Live,0
16-Jun,2017,Kwethluk River,Sockeye,Counted Live,5
17-Jun,2001,Kwethluk River,Coho,Counted Live,0
17-Jun,2015,Kwethluk River,Chinook,Counted Live,4
17-Jun,2015,Kwethluk River,Chum,Counted Live,2
17-Jun,2015,Kwethluk River,Coho,Counted Live,0
17-Jun,2015,Kwethluk River,Sockeye,Counted Live,8
17-Jun,2016,Kwethluk River,Chinook,Counted Live,
17-Jun,2016,Kwethluk River,Chum,Counted Live,
17-Jun,2016,Kwethluk River,Coho,Counted Live,
17-Jun,2016,Kwethluk River,Sockeye,Counted Live,
17-Jun,2017,Kwethluk River,Chinook,Counted Live,1
17-Jun,2017,Kwethluk River,Chum,Counted Live,9
17-Jun,2017,Kwethluk River,Coho,Counted Live,0
17-Jun,2017,Kwethluk River,Sockeye,Counted Live,24
18-Jun,2001,Kwethluk River,Coho,Counted Live,0
18-Jun,2015,Kwethluk River,Chinook,Counted Live,7
18-Jun,2015,Kwethluk River,Chum,Counted Live,3
18-Jun,2015,Kwethluk River,Coho,Counted Live,0
18-Jun,2015,Kwethluk River,Sockeye,Counted Live,15
18-Jun,2016,Kwethluk River,Chinook,Counted Live,
18-Jun,2016,Kwethluk River,Chum,Counted Live,
18-Jun,2016,Kwethluk River,Coho,Counted Live,
18-Jun,2016,Kwethluk River,Sockeye,Counted Live,
18-Jun,2017,Kwethluk River,Chinook,Counted Live,2
