date,year,location,species,type,count
6/23,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/23,2016,Salmon River (Pitka Fork),Chinook,Counted Live,4
6/23,2016,Salmon River (Pitka Fork),Chum,Counted Live,0
6/23,2016,Salmon River (Pitka Fork),Coho,Counted Live,0
6/23,2017,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/23,2017,Salmon River (Pitka Fork),Chum,Counted Live,0
6/23,2017,Salmon River (Pitka Fork),Coho,Counted Live,0
6/23,2018,Salmon River (Pitka Fork),Chinook,Counted Live,1
6/23,2018,Salmon River (Pitka Fork),Chum,Counted Live,0
6/23,2018,Salmon River (Pitka Fork),Coho,Counted Live,0
6/23,2019,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/23,2019,Salmon River (Pitka Fork),Chum,Counted Live,0
6/23,2019,Salmon River (Pitka Fork),Coho,Counted Live,0
6/24,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/24,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/24,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/24,2016,Salmon River (Pitka Fork),Chinook,Counted Live,43
6/24,2016,Salmon River (Pitka Fork),Chum,Counted Live,0
6/24,2016,Salmon River (Pitka Fork),Coho,Counted Live,0
6/24,2017,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/24,2017,Salmon River (Pitka Fork),Chum,Counted Live,0
6/24,2017,Salmon River (Pitka Fork),Coho,Counted Live,0
6/24,2018,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/24,2018,Salmon River (Pitka Fork),Chum,Counted Live,0
6/24,2018,Salmon River (Pitka Fork),Coho,Counted Live,0
6/24,2019,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/24,2019,Salmon River (Pitka Fork),Chum,Counted Live,0
6/24,2019,Salmon River (Pitka Fork),Coho,Counted Live,0
6/25,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/25,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/25,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/25,2016,Salmon River (Pitka Fork),Chinook,Counted Live,69
6/25,2016,Salmon River (Pitka Fork),Chum,Counted Live,0
6/25,2016,Salmon River (Pitka Fork),Coho,Counted Live,0
6/25,2017,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/25,2017,Salmon River (Pitka Fork),Chum,Counted Live,0
6/25,2017,Salmon River (Pitka Fork),Coho,Counted Live,0
6/25,2018,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/25,2018,Salmon River (Pitka Fork),Chum,Counted Live,0
6/25,2018,Salmon River (Pitka Fork),Coho,Counted Live,0
6/25,2019,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/25,2019,Salmon River (Pitka Fork),Chum,Counted Live,0
6/25,2019,Salmon River (Pitka Fork),Coho,Counted Live,0
6/26,2015,Salmon River (Pitka Fork),Chinook,Counted Live,0
